TEAM_ABBREVIATION,TEAM_NAME,TEAM_ID,EOS_ELO
ATL,Atlanta Hawks,1610612737,1485
BOS,Boston Celtics,1610612738,1336
BKN,Brooklyn Nets,1610612751,1523
CHA,Charlotte Hornets,1610612766,1513
CHI,Chicago Bulls,1610612741,1561
CLE,Cleveland Cavaliers,1610612739,1450
DAL,Dallas Mavericks,1610612742,1621
DEN,Denver Nuggets,1610612743,1462
DET,Detroit Pistons,1610612765,1351
GSW,Golden State Warriors,1610612744,1619
HOU,Houston Rockets,1610612745,1627
IND,Indiana Pacers,1610612754,1542
LAC,Los Angeles Clippers,1610612746,1673
LAL,Los Angeles Lakers,1610612747,1394
MEM,Memphis Grizzlies,1610612763,1603
MIA,Miami Heat,1610612748,1609
MIL,Milwaukee Bucks,1610612749,1255
MIN,Minnesota Timberwolves,1610612750,1516
NOP,New Orleans Pelicans,1610612740,1441
NYK,New York Knicks,1610612752,1544
OKC,Oklahoma City Thunder,1610612760,1658
ORL,Orlando Magic,1610612753,1311
PHI,Philadelphia 76ers,1610612755,1254
PHX,Phoenix Suns,1610612756,1578
POR,Portland Trail Blazers,1610612757,1589
SAC,Sacramento Kings,1610612758,1407
SAS,San Antonio Spurs,1610612759,1764
TOR,Toronto Raptors,1610612761,1566
UTA,Utah Jazz,1610612762,1329
WAS,Washington Wizards,1610612764,1554
